id;recipient_id;template_type;template_language;channel;content;metadata;sent_at;delivered_at;read_at;status;booking_id
1;971c5e91-77f9-46df-875b-2fb9d174f986;beep;partial;eyeglasses accelerator dilate;../fake-data/blob/hipster.txt;weight;2025-08-31T05:51:47;2025-08-30T23:47:58;2025-08-31T03:36:19;alligator male phooey;fe5cd59c-096d-4188-86b4-640da6e18098
2;e4fe5830-5749-4224-8e92-297671f8e166;briefly upon;cemetery yippee;chasuble slump tomorrow;../fake-data/blob/hipster.txt;lid;2025-08-31T08:37:28;2025-08-31T15:08:20;2025-08-31T07:01:33;masticate necessary;c999b104-853d-4e65-a5d2-7a230d4a22e2
3;a096e7dd-31bc-4b71-88b1-d999436078d8;pleasant knowledgeably;eminent;mesh stoop;../fake-data/blob/hipster.txt;as;2025-08-30T17:27:24;2025-08-30T19:12:42;2025-08-31T00:13:57;legend hmph train;03f5e3ae-de49-48ec-a9f7-cb83bbf3eeb9
4;0c9dcc67-fb28-4a7d-ad01-b0240bc6f110;zowie swanling;pfft playfully flint;gah if;../fake-data/blob/hipster.txt;oil;2025-08-30T17:17:31;2025-08-30T20:48:40;2025-08-31T11:19:44;puppet however;291d9cff-9e52-43fd-9bab-cb8004dcc136
5;24d262c1-4340-42a4-a74f-6859af7b2304;doting;without perfectly;annex;../fake-data/blob/hipster.txt;generously who;2025-08-31T09:59:51;2025-08-30T18:58:46;2025-08-31T15:01:20;gadzooks;9e6164d2-5ab9-4d69-a026-cc459fd0822b
6;deed3912-a667-417a-bb3e-0411353c41cc;gripping that given;officially;around;../fake-data/blob/hipster.txt;mixture cool hovercraft;2025-08-31T01:18:07;2025-08-31T06:39:13;2025-08-30T19:52:32;lest lest;ee4d7997-e4d9-4df3-8281-f3cebebe17ed
7;3a6b0214-2788-4a87-9a15-7ee82aeafb59;remand tragic;exhaust;glow finer blah;../fake-data/blob/hipster.txt;consequently whether consistency;2025-08-30T22:00:08;2025-08-31T08:10:34;2025-08-30T16:50:04;faraway;80df315c-3de2-4537-8d54-f3a42b9b0b78
8;a2b9f173-5f3e-4676-a8f5-18da77ca9903;boohoo whirlwind hovel;equally genuine yowza;essential tough multicolored;../fake-data/blob/hipster.txt;rim moisten till;2025-08-31T03:32:54;2025-08-30T22:22:25;2025-08-31T05:03:46;whereas;d676b503-4ab1-448b-9738-473318efc0d4
9;2379f9b5-1fb7-4e8f-8d42-537dbbd3b68f;gadzooks instead;unless fondly;alongside illustrious;../fake-data/blob/hipster.txt;that;2025-08-31T08:53:33;2025-08-31T07:57:31;2025-08-31T08:47:41;minister;d743a653-5ed5-47ba-aa52-9eac6bcf21e2
10;7d465cfd-0e62-4e9c-8bb9-85adb2422bb5;and as under;where browse;for the safely;../fake-data/blob/hipster.txt;underneath;2025-08-31T05:00:47;2025-08-31T03:01:33;2025-08-31T16:01:36;wherever;9f380cc6-79cd-4a9d-b623-4a153c2d3bbb
